Core,Adverbial,Conditional,Relative
"['Based on a print order, the demand is checked.']",[],[],[]
"[', shirts are ordered for a satisfying order and the demand of shirts.']",[],['If a print order is a unsatisfiable order'],[]
"['Based on a satisfying order, the order is divided into print orders.']",[],[],[]
"['With the list of print items, the print order is executed for the ordered shirts.']",[],[],[]
