Core,Adverbial,Conditional,Relative
"['Based on a new addition, we select a product type.']",[],[],[]
"['With the selected product type, we select an attribute.']",[],[],[]
"['Based on the selected attribute, we select the attribute value for the attribute value details and']",[],[],[]
['the attribute value the selected attribute.'],[],[],[]
['we then accept the attribute value for the potentially complete system.'],[],[],[]
"['With a selected product type, we select a product for the product details and the product.']",[],[],[]
"['Then, we accept the product for the potentially complete system.']",[],[],[]
