Core,Adverbial,Conditional,Relative
"['Based on a new or an existing order, we check the order for the product list.']",[],[],[]
"['Then, we collect the materials.']",[],[],[]
"['With the collected materials, we then build the table.']",[],[],[]
"['Afterward, the table is polished.']",[],[],[]
['Then we package the table for an express delivery or a regular delivery.'],[],[],[]
