Core,Adverbial,Conditional,Relative
"['From the order, the distribution clerk registered an incoming order for an open order and an order to print.']",[],[],[]
"['With the order to print, the distribution clerk then instructs printing.']",[],[],[]
"['With the open order and ordered shirts, the distribution clerk packages the goods.']",[],[],[]
['The packaged goods are then sent for the delivery and order-to-bill.'],[],[],[]
"['From the order to bill, an invoice delivery is instructed for the delivery details.']",[],[],[]
